Program,OptionName,Description,Vendor,GradeLevel,CourseLength,Competency,Requirements,Website
HPP,Excellence in Government Fellows,"This leadership development program is tailored to the needs of high-performing senior-level federal employees. Graduates deliver results—helping the government effectively defend the homeland, ensure public safety, protect the environment, respond to natural and man-made disasters, improve public health and serve those in need.",Partnership for Public Service,"CU-15, CU-14",12 Months,"Public Service Motivation, Oral Communication, Strategic Thinking","Fellows remain in their full-time jobs, meet every six weeks and spend a total of 24 days in session. Fellows also devote up to five hours per week to their  projects and are expected to attend all seven classes.",Excellence in Government Fellows Program • Partnership for Public Service
HPP,Aspiring Leader Development,"This sequential, four-course, 8-day program is designed based on the Office of Personnel Management Executive Core Qualifications (ECQs), and provides participants with ideas, techniques, experiential exercises, and contemplative reflections to apply those competencies directly to the challenges they face in the workplace.",American University,"CU-11, CU-9, CU-7",8 Days,"Written Communication, Oral Communication,  Conflict Management, Interpersonal Skills, Team Building","4 course, 8-day program.",Aspiring Leaders Executive Certificate | School of Public Affairs | American University
HPP,Preparing to Lead,The Preparing to Lead program is a professional development opportunity for federal employees who are interested in pursuing a career in leadership at their agencies. Participants practice strategies to help them become more effective employees and develop critical leadership skills they will be able to use throughout their careers.,Partnership for Public Service,"CU-11, CU-9, CU-7",5 Months,"Public Service Motivation, Oral Communication, Strategic Thinking",Participants complete course and team projects outside of designated hours.,Preparing to Lead • Partnership for Public Service
HPP,Mini MBA: Management & Leadership,"The Bauer Mini-MBA is designed to expose you to the basic fundamentals of business. Led by the same faculty who teach within the renowned Bauer Executive MBA, the Mini-MBA offers high-caliber instruction within a consolidated timeframe. In addition, each Mini-MBA has a specialization that focuses in more detail on a specific discipline. This specialization focuses on Managing Human Resources, Executive Communications, Ethics Workshop and Leading High Performance Teams.",University of Houston,"CU-12, CU-11",5 Days,"Technical Credibility, Influence / Negotiating, Problem Solving, Human Resources",TDY to University of Houston Campus,The Bauer Mini-MBA | Bauer College of Business at UH
HPP,Accelerated Management Development Certificate,"The Accelerated Management Development Certificate Program is ideal for directors, senior managers, and mid-career professionals seeking to upskill and broaden their business perspectives with the credibility and rigor that is synonymous with Michigan Ross. The program enhances general management skills to accelerate your career trajectory and to reach new career goals with comprehensive course material and relevant specialty courses.",University of Michigan,"CU-13, CU-12",6 Months,"Continual Learning, Interpersonal Skills, Problem Solving, Influence / Negotiating",5 – 7 hours of course work each week,Accelerated Management Development Certificate Program | Michigan Ross
HPP,Coaching Services,Gives all employees the ability to gain those power skills that will allow them to be successful and reach their full potential as a leader.,Skillsoft,All Grades,18 Months,"Flexibility, Resilience, Accountability, Decisiveness",Each applicant receives 12 coaching sessions.,Online Coaching | Skillsoft
HPP,MDP Part 1 -Leadership for an Efficient and Accountable Government (LEAG),"Tailored for high-potential GS-14 and GS-15 employees aspiring to SES roles, LEAG provides a strong foundation for advancement. The curriculum equips participants with essential leadership, strategic thinking, and program management skills, blending virtual and in-person sessions with interactive modules. LEAG participants will learn to connect strategic policy with practical implementation while building a powerful professional network.",OPM,"SSP, CU-15, CU-14, CU-13",80 hours and 2 days in person.,"Public Service Motivation, Oral Communication, Strategic Thinking","80 hours video based and 2 days in DC. Employee applies for preferred session dates and OPM will assign first available date, notify employee and collect payment.",Executive Development Programs
